link,date,time,score,length 1,damage 1,source 1,length 2,damage 2,source 2,length 3,damage 3,source 3,length 4,damage 4,source 4,length 5,damage 5,source 5,length 6,damage 6,source 6,length 7,damage 7,source 7,length 8,damage 8,source 8,length 9,damage 9,source 9
https://dps.report/Bast-20231027-202551_sam,27.10.2023,20:25:51,nan,7.102,4091.0,Rosenrot.1293,4.401,4419.0,Icetea.3204,6.607,1672.5,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/y0L6-20231027-202730_sam,27.10.2023,20:27:30,nan,3.898,4419.0,Rosenrot.1293,8.791,2188.5,Icetea.3204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/a866-20231027-203128_sam,27.10.2023,20:31:28,nan,3.5,4744.0,Rosenrot.1293,5.094,4319.0,Icetea.3204,2.993,4619.0,KarlFranzOtto.7863,8.807,2352.5,Rosenrot.1293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/2HqX-20231027-203240_sam,27.10.2023,20:32:40,nan,5.488,2252.5,Rosenrot.1293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/EWlB-20231027-203713_sam,27.10.2023,20:37:13,nan,6.097,3556.5,Rosenrot.1293,6.693,4094.0,Icetea.3204,2.889,4519.0,KarlFranzOtto.7863,3.4,4581.0,Rosenrot.1293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/IQDs-20231027-204243_sam,27.10.2023,20:42:43,nan,6.994,3801.0,Rosenrot.1293,4.277,4744.0,Icetea.3204,5.989,2924.0,KarlFranzOtto.7863,4.095,4481.0,Rosenrot.1293,6.788,4094.0,Icetea.3204,8.802,2452.5,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/n8lm-20231027-204350_sam,27.10.2023,20:43:50,nan,4.515,475.0,Rosenrot.1293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/QsQl-20231027-205243_sam,27.10.2023,20:52:43,23826.75,7.008,3556.5,Rosenrot.1293,4.209,3964.0,Icetea.3204,4.004,4419.0,KarlFranzOtto.7863,3.393,4681.0,Rosenrot.1293,5.292,4419.0,Icetea.3204,8.275,3639.0,KarlFranzOtto.7863,5.105,4218.0,Rosenrot.1293,5.588,4138.5,Icetea.3204,6.813,3394.5,KarlFranzOtto.7863
https://dps.report/jFK5-20231027-205445_sam,27.10.2023,20:54:45,nan,7.301,4145.5,Rosenrot.1293,9.097,3464.0,Icetea.3204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/52Ka-20231027-205557_sam,27.10.2023,20:55:57,nan,8.818,3801.0,Rosenrot.1293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/Dw3y-20231027-205816_sam,27.10.2023,20:58:16,nan,5.02,4419.0,Rosenrot.1293,4.285,4319.0,Icetea.3204,7.015,3704.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/a0td-20231027-205931_sam,27.10.2023,20:59:31,nan,6.653,3184.0,Rosenrot.1293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/lr56-20231101-201050_sam,01.11.2023,20:10:50,nan,4.5,4336.5,Rosenrot.1293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/W6ZL-20231101-201904_sam,01.11.2023,20:19:04,nan,5.214,4156.0,Rosenrot.1293,5.586,4338.5,Icetea.3204,3.795,4519.0,KarlFranzOtto.7863,4.397,4481.0,Rosenrot.1293,7.799,4036.5,Icetea.3204,3.794,4619.0,KarlFranzOtto.7863,1.203,780.0,Rosenrot.1293,7.853,2434.0,Icetea.3204,nan,nan,nan
https://dps.report/Q57I-20231101-202115_sam,01.11.2023,20:21:15,nan,4.795,4481.0,Rosenrot.1293,4.991,4544.0,Icetea.3204,8.281,0.0,Icetea.3204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
